BearID,Sex,Age,Capture Date,Year,Pop,TypicalSummerHabitat,SummerHabitatDuringHairGrowth,Lat,Long,d15N Air,d13C VPDB,Percent N,Percent C
20473,M,20,4/23/2008,2008,SB,unknown,unknown,71.0456,-151.1875,21.5,-16.4,15.76,45.56
20797,F,21,4/24/2015,2015,CS,NA,NA,67.5425,-164.8772,20.9,-16,15.89,46.2
21630,F,21,4/16/2015,2015,CS,NA,NA,67.1572,-165.6446,20.5,-15.2,11.08,32.3
21100,M,21,4/6/2009,2009,CS,NA,NA,68.0437,-166.3526,19.7,-14.9,16.2,47.3
21599,M,21,3/26/2015,2015,CS,NA,NA,67.9588,-166.4163,19.9,-15.2,15.79,45.51
21678,F,21,4/12/2016,2016,CS,NA,NA,66.5289,-167.5197,20.2,-14.9,15.92,46.05
20792,F,21,4/14/2005,2005,SB,ice,unknown,70.8324,-150.6558,21.6,-16,17.17,49.53
6348,F,21,4/25/2005,2005,SB,unknown,unknown,70.4145,-145.4423,21.1,-16.8,14.13,40.9
6361,F,21,10/28/1988,1988,SB,unknown,unknown,70.6333,-148.7167,21.2,-15.9,13.91,40.33
32220,F,22,4/23/2011,2011,SB,land,land,71.4442,-151.1959,20.7,-16.4,13.25,38.11
21620,F,22,4/13/2015,2015,CS,NA,NA,67.0619,-164.5353,20.3,-15.2,14.51,42.36
21623,M,22,4/14/2015,2015,CS,NA,NA,67.013,-165.4505,20.5,-15.8,14.43,42.42
21112,F,22,4/18/2009,2009,CS,NA,NA,68.7471,-167.3192,20.7,-15.4,15.6,45.4
21163,M,22,4/2/2010,2010,CS,NA,NA,68.0891,-167.6366,21,-16,15.2,43.2
22318,F,22,4/12/2016,2016,SB,land,unknown,70.8836,-146.388,19.6,-17.5,14.45,42.27
6520,F,22,4/12/2008,2008,SB,land,unknown,,-152.2014,20.9,-16.3,13.59,39.45
20562,F,22,10/7/2009,2009,SB,unknown,unknown,70.106,-143.2929,20,-17.8,15.92,46.49
20562,F,22,8/4/2009,2009,SB,unknown,unknown,70.4555,-150.8761,20,-17.8,13.81,40.15
21072,M,23,4/9/2015,2015,CS,NA,NA,67.4316,-166.2317,20.5,-15.2,13.62,39.58
21108,M,23,4/16/2009,2009,CS,NA,NA,68.2555,-166.8212,21.1,-15.2,15.9,46.1
21146,M,23,3/20/2010,2010,CS,NA,NA,68.0781,-167.011,20.7,-14.6,16,45.2
6524,F,23,4/14/2004,2004,SB,ice,unknown,70.7514,-147.3449,21,-16.7,15.13,43.44
20732,M,23,4/23/2004,2004,SB,unknown,unknown,70.9091,-144.6011,22.6,-16.1,14.47,41.98
20850,F,23,4/20/2006,2006,SB,unknown,unknown,70.6221,-147.463,21.1,-16.8,14.62,42.62
20490,M,23,3/29/2016,2016,SB,unknown,unknown,71.4646,-153.9198,20,-16.4,15.84,45.87
20333,F,24,4/30/2008,2008,SB,land,land,70.2022,-144.0123,19.8,-17.5,13.6,39.05
21509,F,24,3/27/2015,2015,CS,NA,NA,66.5983,-165.2702,20.9,-15.2,14.83,42.7
21623,M,24,4/17/2017,2017,CS,NA,NA,67.7411,-166.36,20.3,-15.1,14.61,42.34
21108,M,24,3/30/2010,2010,CS,NA,NA,68.45,-167.42,20.8,-15.6,13.4,39.2
20354,F,24,4/16/2009,2009,SB,ice,unknown,70.7277,-145.3252,20.2,-16.8,16.34,47.51
10105,M,24,4/25/2005,2005,SB,unknown,unknown,70.3151,-142.9651,19.9,-16.7,14.45,42.16
32621,M,24,4/8/2012,2012,SB,unknown,unknown,70.6553,-143.5828,20.3,-17.2,15.42,44.92
20333,F,25,4/19/2009,2009,SB,land,land,70.2029,-144.9327,20,-17.4,15.05,43.44
21706,F,25,3/24/2017,2017,CS,NA,NA,66.927,-165.5213,21.5,-16.2,13.1,38
21072,M,25,3/28/2017,2017,CS,NA,NA,67.7612,-166.0712,21.3,-16.6,15.15,43.84
21719,F,25,3/28/2017,2017,CS,NA,NA,67.3365,-166.6347,20.6,-15.8,18.26,52.67
6593,F,30,3/17/1987,1987,CS,NA,NA,NA,NA,20.1,-14.5,16.51,48.24
32821,F,unknown but had yearlings,4/14/2013,2013,SB,unknown,unknown,,-149.6872,20.9,-17.5,16.6,47.58
20446,F,unknown but had yearlings,9/15/2010,2010,SB,land,land,70.1288,-145.9131,20.3,-17.5,18.06,52.64
20446,F,unknown but had yearlings,10/15/2008,2008,SB,unknown,unknown,70.1806,-145.9773,20.4,-17.4,13.58,39.93
20446,F,unknown but had yearlings,4/25/2006,2006,SB,unknown,unknown,70.7967,-148.9548,19.6,-16.8,15.9,45.79
21382,F,unknown but had yearlings,4/15/2014,2014,SB,ice,unknown,,-151.8997,21.5,-16.3,15.96,45.65
21387,F,unknown but had yearlings,4/21/2014,2014,SB,unknown,unknown,,-143.0607,21.2,-18,12.53,36.05
6717,M,unknown but had yearlings,4/17/1987,1987,CS,NA,NA,NA,NA,21.8,-14.8,15.88,46.38
21709,F,unknown but had yearlings,3/25/2017,2017,CS,NA,NA,66.8041,-165.9209,20.2,-15.7,15.65,45.45
21747,F,unknown but had yearlings,4/20/2017,2017,CS,NA,NA,67.6205,-166.4057,20.9,-15.5,13.82,40
21646,M,unknown but had yearlings,4/29/2015,2015,CS,NA,NA,67.9408,-167.7137,21,-15.5,15.51,45.7
32662,M,unknown but had yearlings,4/18/2009,2009,SB,unknown,unknown,70.1997,-143.8894,20.2,-16.9,15.04,43.8
32698,F,unknown but had yearlings,4/12/2012,2012,SB,unknown,unknown,70.1288,-145.4422,19.5,-17,13.91,40.22
32700,F,unknown but had yearlings,9/15/2010,2010,SB,unknown,unknown,70.0409,-145.4546,19.7,-17.5,13.77,39.91
32698,F,unknown but had yearlings,4/22/2015,2015,SB,unknown,unknown,,-145.5815,20.1,-17.6,15.1,43.3
20713,F,unknown but had yearlings,4/14/2004,2004,SB,unknown,unknown,70.5556,-147.5354,21.3,-16.6,17.23,50.34
21701,F,unknown but had yearlings,4/26/2016,2016,CS,NA,NA,NA,NA,20.6,-15.8,15.66,45.47
